CustomerKey,FirstPurchase,LastPurchase,PurchaseCount,TotalAmount,AverageAmount,LifecycleDays,Cluster
11463,2013-03-05,2013-12-13,4,47.92,11.98,283,2
11464,2011-07-22,2013-07-01,7,8128.509999999999,1161.2157142857143,710,0
11465,2011-07-14,2013-07-13,4,8158.04,2039.51,730,0
11466,2013-05-22,2013-08-21,7,90.19,12.884285714285713,91,2
11467,2013-07-31,2013-10-20,4,47.92,11.98,81,2
11472,2011-07-26,2013-10-26,6,8165.82,1360.97,823,0
11749,2013-04-08,2013-05-07,3,39.97,13.323333333333332,29,3
11750,2011-07-14,2013-10-01,6,8148.0199999999995,1358.0033333333333,810,0
11751,2011-07-08,2013-07-17,6,8215.02,1369.17,740,0
11752,2013-02-27,2013-12-06,8,137.87,17.23375,282,2
11753,2013-04-19,2013-10-15,4,47.92,11.98,179,2
11754,2011-07-16,2013-07-30,5,8163.53,1632.706,745,0
11755,2013-05-31,2013-08-17,5,46.25,9.25,78,2
11756,2011-07-28,2013-10-25,6,8078.0199999999995,1346.3366666666666,820,0
11757,2013-02-23,2013-11-27,5,58.05,11.61,277,2
11758,2013-03-30,2013-11-24,5,58.05,11.61,239,2
11759,2011-07-10,2013-07-09,3,8054.049999999999,2684.683333333333,730,0
11760,2013-03-31,2013-11-19,9,274.92,30.546666666666667,233,2
11761,2011-08-05,2013-07-29,8,8149.49,1018.68625,724,0
11762,2011-08-07,2013-07-06,7,8228.01,1175.43,699,0
11763,2013-01-30,2013-11-12,7,76.64999999999999,10.95,286,2
11764,2011-09-09,2013-07-07,6,8129.0199999999995,1354.8366666666666,667,0
11765,2011-09-12,2013-07-26,5,8143.03,1628.606,683,0
11766,2011-09-19,2013-07-10,11,8280.48,752.7709090909091,660,0
11767,2011-09-17,2013-07-12,7,8319.51,1188.5014285714285,664,0
11768,2011-09-03,2013-07-14,4,8139.04,2034.76,680,0
11892,2011-09-04,2013-07-22,5,8119.03,1623.806,687,0
11893,2011-08-31,2013-07-23,5,8123.03,1624.606,692,0
11894,2011-09-22,2013-07-06,9,8223.0,913.6666666666666,653,0
11895,2011-09-12,2013-07-25,5,8149.04,1629.808,682,0
11896,2011-09-01,2013-07-11,6,8117.969999999999,1352.995,679,0
11897,2011-08-30,2013-10-14,6,8203.019999999999,1367.1699999999998,776,0
11898,2011-09-14,2013-07-23,6,8179.03,1363.1716666666666,678,0
11899,2011-09-04,2013-07-08,7,8189.5,1169.9285714285713,673,0
11900,2011-09-21,2013-07-11,7,8257.01,1179.5728571428572,659,0
11901,2011-09-10,2013-11-09,7,8248.01,1178.287142857143,791,0
11902,2013-02-21,2013-12-29,6,63.04,10.506666666666666,311,2
11903,2011-09-21,2013-07-13,4,8108.04,2027.01,661,0
11904,2011-09-17,2013-07-01,7,8214.5,1173.5,653,0
11905,2011-08-29,2013-07-06,7,8155.98,1165.1399999999999,677,0
11906,2011-09-10,2013-07-12,7,8151.0,1164.4285714285713,671,0
11907,2011-09-28,2013-07-20,5,8135.33,1627.066,661,0
11908,2011-09-19,2013-08-23,3,8079.049999999999,2693.0166666666664,704,0
11909,2011-09-20,2013-08-01,7,8105.3099999999995,1157.9014285714286,681,0
11910,2011-10-09,2013-08-03,5,8113.03,1622.606,664,0
11911,2013-06-01,2013-12-21,4,62.459999999999994,15.614999999999998,203,2
11912,2011-10-27,2013-11-22,6,8095.32,1349.22,757,0
11913,2013-12-03,2013-12-26,4,41.26,10.315,23,2
11914,2011-10-18,2013-08-23,8,8165.959999999999,1020.7449999999999,675,0
11915,2011-10-02,2013-08-24,8,8142.999999999999,1017.8749999999999,692,0
11916,2011-10-01,2013-08-21,7,8178.509999999999,1168.3585714285714,690,0
11917,2011-10-27,2013-08-19,6,8121.33,1353.555,662,0
11918,2011-10-13,2013-11-25,8,8204.99,1025.62375,774,0
11919,2011-10-05,2013-12-21,8,8171.5199999999995,1021.4399999999999,808,0
11920,2011-10-10,2013-12-11,7,8156.32,1165.1885714285713,793,0
11921,2013-09-19,2013-11-23,5,63.24,12.648,65,2
11929,2011-10-14,2013-12-17,8,4965.78,620.7225,795,0
11930,2011-10-14,2013-12-16,5,5035.8099999999995,1007.1619999999999,794,0
11942,2011-10-15,2013-12-19,7,4792.29,684.6128571428571,796,0
11943,2011-10-18,2013-12-13,7,4734.29,676.3271428571428,787,0
11944,2011-10-19,2013-12-20,9,4776.2699999999995,530.6966666666666,793,0
11946,2011-10-21,2013-12-22,5,4697.3099999999995,939.4619999999999,793,0
11947,2011-10-13,2013-12-27,6,4747.3,791.2166666666667,806,0
11948,2013-09-06,2013-10-06,4,82.26,20.565,30,2
11951,2013-08-20,2013-11-12,8,63.519999999999996,7.9399999999999995,84,2
11952,2011-10-05,2013-08-07,7,8168.999999999999,1166.9999999999998,672,0
11963,2011-10-22,2013-08-23,5,8068.03,1613.606,671,0
11964,2011-10-14,2013-08-09,6,8173.53,1362.2549999999999,665,0
11965,2013-02-10,2013-12-01,6,118.74,19.79,294,2
11966,2013-11-01,2013-12-18,4,55.76,13.94,47,2
11967,2011-10-23,2013-08-07,6,8153.0199999999995,1358.8366666666666,654,0
11968,2011-10-28,2013-08-17,3,8079.049999999999,2693.0166666666664,659,0
11969,2011-10-19,2013-08-16,6,8173.0199999999995,1362.1699999999998,667,0
11976,2011-10-25,2013-08-25,6,8087.3099999999995,1347.885,670,0
11977,2011-11-01,2013-08-15,8,8212.5,1026.5625,653,0
11986,2011-11-22,2013-08-27,11,8245.23,749.5663636363636,644,0
11987,2013-06-17,2013-11-10,8,279.23,34.90375,146,2
11988,2011-11-10,2013-08-06,6,8078.0199999999995,1346.3366666666666,635,0
11989,2011-11-03,2013-08-06,5,8139.53,1627.906,642,0
11990,2011-11-13,2013-08-22,7,8164.009999999999,1166.2871428571427,648,0
11991,2011-11-01,2013-12-19,6,8128.0199999999995,1354.6699999999998,779,0
11992,2011-11-17,2013-12-11,5,8123.03,1624.606,755,0
11993,2011-11-13,2013-12-23,7,8131.32,1161.6171428571429,771,0
11994,2011-11-25,2013-08-23,5,8169.03,1633.806,637,0
11995,2011-11-08,2013-12-10,7,8249.01,1178.43,763,0
11996,2011-11-04,2013-08-02,11,7058.7,641.6999999999999,637,0
11997,2011-11-05,2013-08-14,7,7029.779999999999,1004.2542857142855,648,0
11998,2011-11-16,2013-08-28,7,6962.099999999999,994.5857142857142,651,0
11999,2011-11-10,2013-08-02,9,7043.2699999999995,782.5855555555555,631,0
12000,2011-11-16,2013-08-15,8,8183.0,1022.875,638,0
12001,2011-11-14,2013-08-14,7,8113.009999999999,1159.0014285714285,639,0
12002,2011-11-24,2013-08-03,6,8145.33,1357.555,618,0
12003,2011-11-06,2013-08-10,8,8256.5,1032.0625,643,0
12004,2011-11-08,2013-08-08,4,8114.04,2028.51,639,0
12005,2011-11-21,2013-08-17,6,6984.8099999999995,1164.135,635,0
12006,2013-05-05,2013-07-29,6,144.74,24.123333333333335,85,2
12007,2011-12-07,2013-09-21,8,7023.779999999999,877.9724999999999,654,0
12008,2013-06-10,2013-12-19,4,55.76,13.94,192,2
12009,2011-12-11,2013-08-13,7,8195.5,1170.7857142857142,611,0
12010,2011-12-21,2013-08-06,8,8203.5,1025.4375,594,0
12011,2011-12-01,2013-12-15,6,4735.8099999999995,789.3016666666666,745,0
12012,2013-02-13,2013-08-12,4,73.96000000000001,18.490000000000002,180,2
12013,2011-12-09,2013-03-09,3,3949.97,1316.6566666666665,456,3
12014,2011-12-08,2013-05-29,3,3949.97,1316.6566666666665,538,3
12021,2011-12-03,2013-05-13,5,4043.4599999999996,808.6919999999999,527,3
12034,2013-09-23,2013-09-24,5,72.25,14.45,1,2
12035,2013-02-07,2013-05-14,6,81.24,13.54,96,2
12036,2013-03-18,2013-10-08,5,69.55,13.91,204,2
12037,2011-12-27,2013-09-09,8,7107.099999999999,888.3874999999999,622,0
12038,2013-05-04,2013-07-12,4,66.76,16.69,69,2
12039,2011-12-27,2013-08-06,9,8213.0,912.5555555555555,588,0
12240,2011-12-28,2013-06-03,2,3964.9799999999996,1982.4899999999998,523,3
12241,2011-12-16,2013-06-20,4,3989.4599999999996,997.3649999999999,552,3
12242,2011-12-16,2013-06-11,3,3948.97,1316.3233333333333,543,3
12243,2011-12-24,2013-06-19,2,3914.9799999999996,1957.4899999999998,543,3
12244,2013-02-16,2013-05-17,4,114.96000000000001,28.740000000000002,90,3
12245,2011-12-12,2013-06-13,4,3967.2599999999998,991.8149999999999,549,3
12246,2011-12-06,2013-06-16,5,3947.25,789.45,558,0
12247,2013-02-01,2013-05-03,3,77.27,25.756666666666664,91,3
12248,2011-12-10,2013-07-10,2,3939.9799999999996,1969.9899999999998,578,3
12249,2013-03-29,2013-10-21,4,114.96000000000001,28.740000000000002,206,2
12250,2011-12-07,2013-07-10,2,3964.9799999999996,1982.4899999999998,581,3
12251,2011-12-05,2013-07-19,3,3924.97,1308.3233333333333,592,3
12252,2011-12-25,2013-07-25,5,3938.95,787.79,578,0
12253,2011-12-18,2013-07-16,6,4066.93,677.8216666666666,576,0
12337,2011-12-05,2013-08-08,7,8137.009999999999,1162.4299999999998,612,0
12338,2011-12-24,2013-08-17,8,8265.0,1033.125,602,0
12339,2012-01-13,2013-08-03,5,6865.4596,1373.09192,568,0
12340,2012-01-23,2013-09-23,6,6752.128199999999,1125.3546999999999,609,0
12341,2012-01-04,2013-09-09,7,6840.6182,977.2311714285714,614,0
12342,2012-01-10,2013-09-23,7,6838.1182,976.8740285714285,622,0
12343,2012-01-17,2013-09-20,4,5567.928199999999,1391.9820499999998,612,0
12344,2013-03-14,2013-08-13,6,68.7,11.450000000000001,152,2
12345,2013-03-31,2013-04-02,5,64.71,12.941999999999998,2,3
12346,2012-01-04,2013-09-18,5,6864.4596,1372.89192,623,0
12347,2012-01-13,2013-09-24,6,6839.1182,1139.8530333333333,620,0
12348,2012-01-28,2013-09-12,10,6906.0882,690.60882,593,0
12349,2011-12-29,2013-09-01,5,6772.138199999999,1354.4276399999999,612,0
12350,2012-01-06,2013-09-25,6,6791.7496,1131.9582666666668,628,0
12351,2013-06-23,2013-12-07,4,117.97,29.4925,167,2
12352,2013-09-28,2013-11-19,7,274.24,39.17714285714286,52,2
12353,2012-01-25,2013-08-29,5,6765.4596,1353.09192,582,0
12354,2012-01-03,2013-09-02,6,6797.1282,1132.8547,608,0
12355,2011-12-29,2013-09-17,7,6818.1082,974.0154571428571,628,0
12356,2012-01-09,2013-09-19,5,6810.1282,1362.02564,619,0
12357,2013-10-29,2013-10-31,5,93.45,18.69,2,2
12358,2012-01-28,2013-09-04,5,6787.7596,1357.55192,585,0
12359,2013-09-11,2013-10-07,6,95.74,15.956666666666665,26,2
12360,2012-01-16,2013-09-24,3,6750.479600000001,2250.159866666667,617,0
12361,2013-09-18,2013-11-18,5,217.46,43.492000000000004,61,2
12369,2013-09-25,2013-12-14,6,94.23,15.705,80,2
12370,2013-02-10,2013-06-02,6,61.53,10.255,112,2
12371,2013-07-01,2013-11-25,7,214.04,30.577142857142857,147,2
12372,2013-03-22,2013-07-19,7,99.03,14.147142857142857,119,2
12570,2012-01-02,2013-08-12,5,2654.0582,530.81164,588,2
12571,2011-12-29,2013-08-04,4,2641.3896,660.3474,584,2
12572,2012-01-22,2013-09-11,2,2611.4096,1305.7048,598,1
12573,2012-01-08,2013-08-31,3,2668.0782,889.3593999999999,601,1
12574,2012-01-15,2013-09-20,4,2626.3896,656.5974,614,2
12575,2012-01-15,2013-09-27,3,2668.0782,889.3593999999999,621,1
12576,2012-01-04,2013-09-19,4,2653.0681999999997,663.2670499999999,624,2
12577,2012-02-15,2013-09-20,3,2614.0782,871.3593999999999,583,1
12578,2012-02-14,2013-10-23,3,2668.0782,889.3593999999999,617,1
12579,2012-02-15,2013-10-11,2,2589.0882,1294.5441,604,1
12580,2012-02-14,2013-10-20,2,2589.0882,1294.5441,614,1
12581,2012-02-27,2013-10-17,3,2646.3996,882.1332000000001,598,1
12582,2013-07-31,2013-11-02,3,83.97,27.99,94,1
12583,2012-02-28,2013-10-10,3,2646.3996,882.1332000000001,590,1
12584,2012-02-10,2013-11-16,3,2633.3896,877.7965333333333,645,1
12585,2012-02-28,2013-11-06,4,2629.0681999999997,657.2670499999999,617,2
12586,2012-02-03,2013-11-23,2,2636.4096,1318.2048,659,1
12587,2013-11-03,2013-12-25,3,77.27,25.756666666666664,52,1
12588,2012-01-29,2013-11-03,3,2639.0782,879.6927333333333,644,1
12589,2012-02-19,2013-11-08,4,2665.0582,666.26455,628,2
12665,2013-06-29,2013-09-27,6,74.53999999999999,12.423333333333332,90,2
12666,2013-11-03,2013-12-29,4,34.56,8.64,56,2
12667,2012-02-01,2013-09-16,7,6813.1182,973.3026,593,0
12668,2012-02-10,2013-09-19,5,6839.4596,1367.89192,587,0
12669,2012-02-07,2013-09-19,5,6791.0982,1358.21964,590,0
12670,2012-02-23,2013-09-12,5,6785.128199999999,1357.0256399999998,567,0
12671,2012-02-09,2013-08-29,6,6802.1282,1133.6880333333334,567,0
12672,2013-04-16,2013-06-17,5,381.97,76.394,62,2
12673,2012-02-24,2013-09-05,5,6768.138199999999,1353.62764,559,0
12674,2012-02-20,2013-09-04,4,6829.4696,1707.3674,562,0
12675,2012-02-10,2013-09-14,5,6812.7696,1362.5539199999998,582,0
12676,2012-02-18,2013-09-06,5,6859.4596,1371.89192,566,0
12677,2012-02-04,2013-09-21,4,6785.4696,1696.3674,595,0
12678,2013-03-25,2013-05-27,8,341.43,42.67875,63,2
12679,2013-03-13,2013-11-28,3,187.98,62.66,260,1
12680,2012-02-21,2013-09-17,10,6880.098199999999,688.00982,574,0
12681,2012-02-26,2013-09-18,5,6784.1282,1356.82564,570,0
12682,2013-06-02,2013-11-25,5,227.96,45.592,176,2
12683,2012-02-18,2013-09-21,5,6801.4496,1360.28992,581,0
12684,2012-02-06,2013-10-19,10,6893.0782,689.30782,621,0
12685,2012-01-29,2013-10-09,8,6904.1082,863.013525,619,0
12686,2012-02-28,2013-10-01,5,6864.4596,1372.89192,581,0
12687,2012-03-17,2013-10-19,4,6805.4696,1701.3674,581,0
12688,2012-03-08,2013-10-02,6,6867.4396,1144.5732666666665,573,0
12689,2012-03-23,2013-09-29,8,6846.9196,855.86495,555,0
12690,2013-07-05,2013-07-05,2,6.28,3.14,0,1
12691,2013-04-24,2013-12-13,5,247.46,49.492000000000004,233,2
12692,2013-06-05,2013-10-11,5,156.26,31.252,128,2
12693,2012-03-02,2013-10-23,5,6820.4696,1364.09392,600,0
12694,2012-03-12,2013-10-09,5,6785.128199999999,1357.0256399999998,576,0
12695,2013-05-10,2013-10-12,4,192.97,48.2425,155,2
12696,2013-05-12,2013-05-12,1,159.0,159.0,0,3
12697,2013-09-07,2013-11-15,8,296.19,37.02375,69,2
12698,2012-03-13,2013-09-29,6,6786.7496,1131.1249333333333,565,0
12699,2012-03-14,2013-10-20,6,6798.128199999999,1133.0213666666666,585,0
12700,2012-04-28,2013-10-24,7,6860.4396,980.0627999999999,544,0
12701,2012-04-17,2013-09-30,8,6868.4396,858.55495,531,0
12702,2012-04-18,2013-10-07,9,6911.098199999999,767.8997999999999,537,0
12703,2012-04-04,2013-10-03,8,6891.1182,861.389775,547,0
12704,2013-08-08,2013-10-13,5,217.46,43.492000000000004,66,2
12705,2012-03-30,2013-10-18,7,6854.1082,979.1583142857143,567,0
12706,2012-04-12,2013-10-18,9,6851.4096,761.2677333333334,554,0
12715,2013-03-12,2013-08-03,6,74.53999999999999,12.423333333333332,144,2
12987,2012-04-16,2013-10-14,4,6759.4696,1689.8674,546,0
12988,2012-03-31,2013-10-21,7,6915.4382000000005,987.919742857143,569,0
12989,2012-03-31,2013-10-06,8,6817.1182,852.139775,554,0
12990,2012-04-17,2013-10-01,4,6829.4696,1707.3674,532,0
12991,2012-04-17,2013-09-17,7,5641.8982,805.9854571428571,518,0
12992,2013-03-23,2013-08-08,9,158.51,17.612222222222222,138,2
12993,2013-04-05,2013-05-28,5,96.25,19.25,53,2
12994,2012-04-27,2013-10-08,7,6855.4396,979.3485142857143,529,0
12995,2012-04-16,2013-10-26,7,6850.5782,978.6540285714285,558,0
12996,2012-04-21,2013-10-02,4,6808.1482,1702.03705,529,0
12997,2013-07-05,2013-11-08,8,118.18,14.7725,126,2
12998,2012-03-31,2013-09-05,6,5694.8982,949.1496999999999,523,0
12999,2012-04-22,2013-10-19,5,6840.4596,1368.09192,545,0
13000,2012-04-09,2013-10-23,6,6799.4496,1133.2416,562,0
13001,2012-04-23,2013-10-09,7,6799.428199999999,971.3468857142856,534,0
13002,2013-02-25,2013-11-20,7,294.94,42.13428571428572,268,2
13003,2013-03-11,2013-07-14,6,230.25,38.375,125,2
13004,2013-06-22,2013-09-06,4,190.27,47.5675,76,2
13005,2013-08-15,2013-11-10,4,223.97,55.9925,87,2
13006,2012-04-23,2013-09-29,4,6762.1482,1690.53705,524,0
13007,2012-04-05,2013-10-20,5,5671.2396,1134.24792,563,0
13008,2013-08-17,2013-12-17,8,125.50999999999999,15.688749999999999,122,2
13009,2013-09-17,2013-12-21,9,168.67,18.74111111111111,95,2
13010,2012-04-27,2013-10-12,8,5716.5196,714.56495,533,0
13011,2012-04-19,2013-10-05,7,6819.1082,974.1583142857143,534,0
13012,2012-04-19,2013-10-18,9,7017.439600000001,779.7155111111111,547,0
13013,2013-09-27,2013-11-03,7,256.24,36.605714285714285,37,2
13018,2012-03-30,2013-11-14,4,2642.3796,660.5949,594,2
13020,2012-04-01,2013-12-16,2,2589.0882,1294.5441,624,1
13021,2012-04-17,2013-12-06,4,2668.3796,667.0949,598,2
13022,2012-03-31,2013-12-09,4,2644.0182,661.00455,618,2
13023,2013-09-07,2013-09-07,2,58.980000000000004,29.490000000000002,0,1
13024,2012-04-16,2013-12-01,4,2665.0582,666.26455,594,2
13025,2012-04-11,2013-12-25,3,2690.3996,896.7998666666667,623,1
13026,2013-06-27,2013-12-06,5,155.94,31.188,162,2
13034,2013-06-07,2013-09-09,5,94.71000000000001,18.942,94,2
